x,y,cell_id,population ,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.0807741,53.5843107,-4.44E+18,34,0,1,0,0,0.25,0.25,0.5,1,2
-2.2370564,53.4393893,-7.61E+18,98,2,0,5,1,2,4.666666667,2.160246899,2.333333333,1.08012345
-2.2370614,53.4402882,5.09E+18,84,2,6,2,6,4,5.333333333,2.309401077,1.333333333,0.577350269
-2.2370864,53.4447824,-5.08E+18,47,2,3,0,3,2,2,1.414213562,1,0.707106781
-2.2371566,53.4573662,5.30E+18,150,4,4,2,3,3.25,0.916666667,0.957427108,0.282051282,0.294592956
-2.0777151,53.5636396,-2.68E+18,72,2,0,1,0,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.2356157,53.4510773,9.00E+18,125,5,4,2,2,3.25,2.25,1.5,0.692307692,0.461538462
-2.2357503,53.4753459,-4.79E+18,640,0,1,3,1,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.0762134,53.5681347,7.22E+18,121,1,0,0,0,0.25,0.25,0.5,1,2
-2.0837898,53.5816121,8.10E+18,53,0,1,0,0,0.25,0.25,0.5,1,2
-2.1107607,53.4988973,-4.25E+18,67,0,0,0,1,0.25,0.25,0.5,1,2
-2.1108288,53.5249636,-1.72E+18,146,0,0,0,1,0.25,0.25,0.5,1,2
-2.1108335,53.5267612,-4.14E+18,125,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1108429,53.5303566,-7.14E+18,99,0,2,0,0,0.5,1,1,2,2
-2.1109395,53.5672087,-7.61E+18,85,1,0,0,0,0.25,0.25,0.5,1,2
-2.1109725,53.5797923,-4.18E+18,61,2,0,0,0,0.5,1,1,2,2
-2.0822724,53.5780178,7.18E+18,81,1,0,0,0,0.25,0.25,0.5,1,2
-2.1078006,53.5204722,5.06E+18,28,0,1,0,0,0.25,0.25,0.5,1,2
-2.1079495,53.5788962,1.44E+18,75,1,0,0,0,0.25,0.25,0.5,1,2
-2.1079702,53.5869856,1.59E+18,56,0,0,0,1,0.25,0.25,0.5,1,2
-2.1093065,53.5195719,-2.22E+18,71,0,0,1,0,0.25,0.25,0.5,1,2
-2.1093251,53.5267626,7.47E+17,139,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.1093274,53.5276615,2.19E+18,133,0,0,0,2,0.5,1,1,2,2
-2.1093506,53.5366498,-6.35E+18,15,0,0,0,1,0.25,0.25,0.5,1,2
-2.1093715,53.5447393,-2.96E+18,61,3,1,0,1,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.1094575,53.577996,-4.41E+17,60,0,1,0,0,0.25,0.25,0.5,1,2
-2.1078784,53.5510325,4.86E+18,84,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.1079518,53.579795,-5.43E+18,59,0,0,0,1,0.25,0.25,0.5,1,2
-2.1079587,53.5824915,-5.67E+18,45,0,0,0,1,0.25,0.25,0.5,1,2
-2.2789999,53.4078387,1.25E+17,20,11,9,8,10,9.5,1.666666667,1.290994449,0.175438596,0.135894152
-2.2790235,53.4114341,1.40E+18,47,2,2,1,3,2,0.666666667,0.816496581,0.333333333,0.40824829
-2.2775074,53.4096399,4.95E+18,82,24,36,36,32,32,32,5.656854249,1,0.176776695
-2.2760031,53.4096434,-8.82E+18,58,37,32,33,42,36,20.66666667,4.546060566,0.574074074,0.12627946
-2.2760206,53.4123399,5.73E+18,73,10,20,13,12,13.75,18.91666667,4.34932945,1.375757576,0.316314869
-2.2744872,53.4078492,5.59E+18,46,34,32,29,33,32,4.666666667,2.160246899,0.145833333,0.067507716
-2.274493,53.408748,-1.54E+17,56,41,35,37,45,39.5,19.66666667,4.434711565,0.497890295,0.112271179
-2.2730118,53.4123469,-3.20E+18,77,32,37,35,36,35,4.666666667,2.160246899,0.133333333,0.06172134
-2.2731213,53.4294249,-8.79E+18,65,0,1,0,0,0.25,0.25,0.5,1,2
-2.2715074,53.4123503,-2.91E+18,69,27,29,28,27,27.75,0.916666667,0.957427108,0.033033033,0.034501878
-2.2716392,53.4330237,1.59E+18,46,0,0,1,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.270003,53.4123537,8.29E+18,49,20,22,19,19,20,2,1.414213562,0.1,0.070710678
-2.2685836,53.4258398,2.39E+18,77,2,3,0,1,1.5,1.666666667,1.290994449,1.111111111,0.860662966
-2.268595,53.4276374,-6.88E+18,34,0,0,0,1,0.25,0.25,0.5,1,2
-2.2686006,53.4285363,-1.16E+17,53,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.265473,53.4096673,-5.11E+18,39,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2655515,53.4222511,2.57E+18,70,10,14,7,17,12,19.33333333,4.396968653,1.611111111,0.366414054
-2.2639798,53.4114683,3.92E+18,32,0,1,1,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2641248,53.4348382,6.43E+17,49,0,0,1,0,0.25,0.25,0.5,1,2
-2.2642811,53.4600057,-2.09E+18,178,0,1,0,0,0.25,0.25,0.5,1,2
-2.2625475,53.4231566,4.62E+18,172,27,34,27,25,28.25,15.58333333,3.947573094,0.551622419,0.139737101
-2.2626251,53.4357404,-8.08E+18,69,1,1,0,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2626529,53.4402346,8.22E+18,85,0,0,0,1,0.25,0.25,0.5,1,2
-2.2610648,53.4267553,1.88E+18,82,6,6,7,6,6.25,0.25,0.5,0.04,0.08
-2.2610703,53.4276541,-1.38E+17,38,0,0,4,1,1.25,3.583333333,1.892969449,2.866666667,1.514375559
-2.2596202,53.4366458,8.10E+18,11,0,0,2,0,0.5,1,1,2,2
