x,y,cell_id,postcode,county,town,suburb,road,box_1,box_2,box_3,box_4
-2.3082049,53.4940566,7.050865863246427e+18,M6 8GW,Greater Manchester,Eccles,Unknown,Lullington Road,53.4934352,53.494956,-2.3101052,-2.3068187
-2.3085445,53.5407955,-1.1783547706108648e+17,M45 7QQ,Greater Manchester,Prestwich,Unknown,Hillingdon Road,53.5406486,53.5439509,-2.3115588,-2.3068921
-2.3090361,53.6082067,5.078160609965637e+17,BL8 1HA,Greater Manchester,Bury,Brandlesholme,Trimingham Drive,53.6051106,53.6090644,-2.3125312,-2.3068986
-2.3070746,53.5461923,6.695021111184193e+18,M45 7LU,Greater Manchester,Whitefield,Park Lane,Oakdale Close,53.5452757,53.5463183,-2.3074862,-2.3070184
-2.307218,53.5659664,4.276752922093672e+18,M26 2PP,Greater Manchester,Whitefield,Bank Top,Dumers Close,53.5659717,53.5663795,-2.3073554,-2.3065936
-2.3074921,53.6037166,-8.836236764068173e+18,BL8 1XW,Greater Manchester,Bury,Brandlesholme,Grantham Drive,53.6034936,53.6051997,-2.309334,-2.306393
-2.3076752,53.6288833,7.645888314042849e+18,BL9 5NE,Greater Manchester,Bury,Unknown,Rowlands Road,53.6289667,53.6294296,-2.3088755,-2.3067323
-2.3057276,53.5686667,1.0088209595578232e+18,M26 2GN,Greater Manchester,Bury,Redvales,Dumers Lane,53.5688318,53.5689318,-2.3050106,-2.3049106
-2.3040113,53.5399083,6.066052361018161e+18,M45 7GE,Greater Manchester,Prestwich,Park Lane,Lindrick Avenue,53.5383417,53.545829,-2.3056798,-2.2936034
-2.3040499,53.5453012,3.4504675993521423e+18,M45 7PW,Greater Manchester,Whitefield,Park Lane,Richmond Close,53.5446442,53.5451827,-2.3054533,-2.3043147
-2.3041144,53.5542894,-4.770632208398717e+18,M45 7RN,Greater Manchester,Whitefield,Chapel Field,Dales Avenue,53.5539009,53.5546983,-2.304123,-2.3037976
-2.3044762,53.6046231,1.5918916183452431e+18,BL8 1XS,Greater Manchester,Bury,Brandlesholme,Stow Close,53.6046505,53.6048098,-2.3049111,-2.3045779
-2.304515,53.610016,-8.730914438830327e+18,BL8 1DA,Greater Manchester,Bury,Fernhill,Woodhill Road,53.6098635,53.6101228,-2.3054083,-2.3047304
-2.3022141,53.499465,2.734054671306041e+18,M6 7HX,Greater Manchester,Pendlebury,Pendleton,Stanhope Road,53.4993237,53.499676,-2.3019414,-2.3017178
-2.3027913,53.580359,2.5300578486304174e+18,BL9 9LJ,Greater Manchester,Bury,Redvales,Rydal Close,53.5796445,53.5801592,-2.3040659,-2.3027012
-2.3028363,53.5866507,8.186435057288384e+17,BL9 0TT,Greater Manchester,Bury,Buckley Wells,Wells Street,53.5864767,53.5865938,-2.303575,-2.3020108
-2.3005667,53.4796946,-6.5846271970170136e+16,M5 5NG,Greater Manchester,Eccles,Salford Quays,Kirkham Street,53.4798523,53.4807697,-2.3002767,-2.299959
-2.3015627,53.6199106,3.279397836541715e+18,BL9 5JR,Greater Manchester,Bury,Brandlesholme,Guiseley Close,53.619956,53.620166,-2.3011976,-2.2992557
-2.2561825,53.6155223,-1.8260748380411412e+18,BL9 6TY,Greater Manchester,Heywood,Unknown,Birtle Road,53.6050602,53.6157328,-2.2567302,-2.2489936
-2.2997388,53.5758725,-4.041017652780322e+18,BL9 9PL,Greater Manchester,Bury,Redvales,Unknown,53.5753938,53.5755542,-2.300049,-2.2988344
-2.2998088,53.5857595,-6.747309995567396e+18,BL9 0TH,Greater Manchester,Bury,Buckley Wells,Manchester Road,53.5859127,53.5860127,-2.3004356,-2.3003356
-2.2998533,53.5920512,-1.0505602454885194e+18,BL9 0DN,Greater Manchester,Bury,Buckley Wells,Bank Street,53.5919084,53.5921495,-2.3000691,-2.2996608
-2.2984694,53.6100312,-2.449353995627151e+18,BL9 5HG,Greater Manchester,Bury,Fernhill,Plumpton Drive,53.6087755,53.6113999,-2.2991347,-2.296938
-2.2966869,53.571386,8.592322262036097e+17,M26 2AD,Greater Manchester,Bury,Blackford Bridge,Riverside walk,53.5686764,53.571893,-2.3011734,-2.2957764
-2.2967562,53.581273,2.28244970838874e+18,BL9 9HQ,Greater Manchester,Bury,Gigg,Gigg Lane,53.5810017,53.5814593,-2.2966626,-2.2960832
-2.2967625,53.5821718,-5.438460704994938e+18,BL9 9UL,Greater Manchester,Bury,Redvales,Back Brierley Street South,53.5815506,53.5824077,-2.2967798,-2.2963701
-2.2949828,53.5435263,-8.490251005342199e+18,M45 7GE,Greater Manchester,Prestwich,Park Lane,Lindrick Avenue,53.5383417,53.545829,-2.3056798,-2.2936034
-2.2950203,53.5489192,6.035539643285614e+17,M45 7WY,Greater Manchester,Whitefield,Park Lane,Parklands,53.5483384,53.5489059,-2.2961346,-2.2952652
-2.2951831,53.5722885,-2.8368341670878674e+18,BL9 9PD,Greater Manchester,Bury,Redvales,Bibby Street,53.572063,53.5722957,-2.2966249,-2.2949163
-2.2952646,53.5839731,4.896373817155678e+18,BL9 9AS,Greater Manchester,Radcliffe,Fishpool,Devon Street,53.5820408,53.5859064,-2.2962595,-2.2942702
